パターンID,曲順,楽曲ID
2026_spring_base,1,M0006
2026_spring_base,2,M0162
2026_spring_base,3,M0021
2026_spring_base,4,M0186
2026_spring_base,5,VAR_A
2026_spring_base,6,M0004
2026_spring_base,7,M0263
2026_spring_base,8,M0017
2026_spring_base,9,M0188
2026_spring_base,10,M0005
2026_spring_base,11,M0014
2026_spring_base,12,M0252
2026_spring_base,13,M0446
2026_spring_base,14,VAR_B
2026_spring_base,15,VAR_C
2026_spring_base,16,VAR_D
2026_spring_base,17,VAR_E
2026_spring_base,18,VAR_F
2026_spring_base,19,VAR_G
2026_spring_base,20,VAR_H
2026_spring_base,21,VAR_I
2026_spring_base,22,M0086
2026_spring_base,23,VAR_J
2026_spring_base,24,VAR_K
2026_spring_base,25,M0445
2026_spring_base,26,M0009
2026_spring_base,27,VAR_L
2026_spring_base,28,VAR_M
2026_spring_base,29,VAR_N
2025_halloween_base,1,M0017
2025_halloween_base,2,M0204
2025_halloween_base,3,M0182
2025_halloween_base,4,M0262
2025_halloween_base,5,M0225
2025_halloween_base,6,VAR_A
2025_halloween_base,7,M0056
2025_halloween_base,8,M0581
2025_halloween_base,9,M0015
2025_halloween_base,10,VAR_B
2025_halloween_base,11,M0065
2025_halloween_base,12,VAR_C
2025_halloween_base,13,VAR_D
2025_halloween_base,14,VAR_E
2025_halloween_base,15,VAR_F
2025_halloween_base,16,M0019
2025_halloween_base,17,M0582
2025_halloween_base,18,M0301
2025_halloween_base,19,VAR_G
2025_halloween_base,20,M0103
2025_halloween_base,21,M0010
2025_halloween_base,22,M0241
2025_halloween_base,23,M0299
2025_halloween_base,24,VAR_H
2025_halloween_base,25,M0059
2025_summer_base,1,M0019
2025_summer_base,2,M0172
2025_summer_base,3,VAR_A
2025_summer_base,4,VAR_B
2025_summer_base,5,M0212
2025_summer_base,6,M0021
2025_summer_base,7,VAR_C
2025_summer_base,8,M0120
2025_summer_base,9,M0020
2025_summer_base,10,M0025
2025_summer_base,11,M0026
2025_summer_base,12,M0027
2025_summer_base,13,M0071
2025_summer_base,14,M0032
2025_summer_base,15,M0117
2025_summer_base,16,M0024
2025_summer_base,17,M0023
2025_summer_base,18,M0028
2025_summer_base,19,M0016
2025_summer_base,20,M0029
2025_summer_base,21,VAR_D
2025_summer_base,22,M0206
2025_summer_base,23,M0018
2025_summer_base,24,VAR_E
2025_summer_base,25,VAR_F
2025_summer_base,26,M0030
2025_summer_base,27,M0275
2025_summer_base,28,M0031
2025_summer_base,29,M0246
2025_summer_base,30,VAR_G
2025_spring_base,1,M0031
2025_spring_base,2,M0265
2025_spring_base,3,M0266
2025_spring_base,4,VAR_A
2025_spring_base,5,VAR_B
2025_spring_base,6,M0189
2025_spring_base,7,M0144
2025_spring_base,8,M0227
2025_spring_base,9,M0156
2025_spring_base,10,M0058
2025_spring_base,11,VAR_C
2025_spring_base,12,VAR_D
2025_spring_base,13,VAR_E
2025_spring_base,14,VAR_F
2025_spring_base,15,VAR_G
2025_spring_base,16,VAR_H
2025_spring_base,17,M0034
2025_spring_base,18,M0039
2025_spring_base,19,M0160
2025_spring_base,20,VAR_I
2025_spring_base,21,VAR_J
2025_spring_base,22,M0033
2025_spring_base,23,M0239
2025_spring_base,24,VAR_K
2025_spring_base,25,M0040
2025_spring_base,26,VAR_L
2025_cover_base,1,M0243
2025_cover_base,2,M0585
2025_cover_base,3,M0586
2025_cover_base,4,VAR_A
