公演ID,パターンID,VAR_A,VAR_B,VAR_C,VAR_D,VAR_E,VAR_F,VAR_G,VAR_H,VAR_I,VAR_J,VAR_K,VAR_L,VAR_M,VAR_N,VAR_SL_ur1,VAR_SL_ur2,VAR_SL_ur3,VAR_SL_ur4,VAR_SL_ur5,VAR_SL_ur6,VAR_SL_sm1,VAR_SL_sm2,VAR_SL_sk1,VAR_SL_sk2,VAR_SL_sn1,VAR_SL_sn2,VAR_SL_sn3,VAR_SL_sn4,VAR_SL_sn5
2026_spring_01,2026_spring_base,M0268,M_NAN,M0574,M0575,M0576,M0577,M0386,M0013,M0260,M0207,M_NAN,M0189,M0248,M_NAN,,,,,,,,,,,,,,,
2026_spring_02,2026_spring_base,M0154,M_NAN,M0319,M0411,M0007,M0578,M0579,M0580,M0084,M0209,M_NAN,M0080,M0287,M_NAN,,,,,,,,,,,,,,,
2026_spring_03,2026_spring_base,M0268,M_NAN,M0411,M0184,M0386,M0579,M0578,M0003,M0260,M0207,M_NAN,M0189,M0248,M_NAN,,,,,,,,,,,,,,,
2026_spring_04,2026_spring_base,M0268,M_NAN,M0574,M0575,M0576,M0577,M0386,M0013,M0260,M0207,M_NAN,M0189,M0248,M_NAN,,,,,,,,,,,,,,,
2026_spring_05,2026_spring_base,M0154,M_NAN,M0319,M0411,M0007,M0578,M0579,M0580,M0084,M0209,M_NAN,M0080,M0287,M_NAN,,,,,,,,,,,,,,,
2026_spring_06,2026_spring_base,M0268,M_NAN,M0411,M0184,M0386,M0579,M0578,M0003,M0260,M0207,M_NAN,M0189,M0248,M_NAN,,,,,,,,,,,,,,,
2026_spring_07,2026_spring_base,M0268,M_NAN,M0574,M0575,M0576,M0577,M0386,M0013,M0260,M0207,M_NAN,M0189,M0248,M_NAN,,,,,,,,,,,,,,,
2026_spring_08,2026_spring_base,M0154,M_NAN,M0319,M0411,M0007,M0578,M0579,M0580,M0084,M0209,M_NAN,M0080,M0287,M_NAN,,,,,,,,,,,,,,,
2026_spring_09,2026_spring_base,M0268,M_NAN,M0411,M0184,M0386,M0579,M0578,M0003,M0260,M0207,M_NAN,M0189,M0287,M_NAN,,,,,,,,,,,,,,,
2026_spring_10,2026_spring_base,M0268,M_NAN,M0574,M0575,M0576,M0577,M0386,M0013,M0260,M0207,M_NAN,M0189,M0287,M_NAN,,,,,,,,,,,,,,,
2026_spring_11,2026_spring_base,M0154,M_NAN,M0319,M0411,M0007,M0578,M0579,M0580,M0084,M0207,M_NAN,M0080,M0248,M_NAN,,,,,,,,,,,,,,,
2026_spring_12,2026_spring_base,M0268,M_NAN,M0411,M0184,M0386,M0579,M0578,M0003,M0260,M0209,M_NAN,M0189,M0287,M_NAN,,,,,,,,,,,,,,,
2026_spring_13,2026_spring_base,M0268,M_NAN,M0574,M0575,M0576,M0577,M0386,M0013,M0260,M0209,M_NAN,M0189,M0287,M_NAN,,,,,,,,,,,,,,,
2026_spring_14,2026_spring_base,M0154,M_NAN,M0319,M0411,M0007,M0578,M0579,M0580,M0084,M0207,M_NAN,M0080,M0248,M_NAN,,,,,,,,,,,,,,,
2026_spring_15,2026_spring_base,M0268,M_NAN,M0411,M0184,M0386,M0579,M0578,M0003,M0260,M0209,M_NAN,M0189,M0287,M_NAN,,,,,,,,,,,,,,,
2026_spring_16,2026_spring_base,M0154,M_NAN,M0319,M0411,M0007,M0578,M0579,M0580,M0084,M0207,M_NAN,M0080,M0248,M_NAN,,,,,,,,,,,,,,,
2026_spring_17,2026_spring_base,M0268,M0301,M0319,M0411,M0007,M0578,M0579,M0580,M0084,M0207,M0251,M0189,M0248,M0296,,,,,,,,,,,,,,,
2026_spring_18,2026_spring_base,M0154,M0301,M0574,M0575,M0576,M0577,M0386,M0013,M0260,M0209,M0251,M0080,M0287,M0002,,,,,,,,,,,,,,,
2025_halloween_01,2025_halloween_base,M0253,M0205,M0571,M0385,M0572,M0554,M0221,M_NAN,,,,,,,,,,,,,,,,,,,,,
2025_halloween_02,2025_halloween_base,M0570,M0279,M0568,M0437,M0573,M0472,M0143,M0096,,,,,,,,,,,,,,,,,,,,,
2025_halloween_03,2025_halloween_base,M0253,M0205,M0571,M0385,M0572,M0554,M0221,M_NAN,,,,,,,,,,,,,,,,,,,,,
2025_halloween_04,2025_halloween_base,M0570,M0279,M0568,M0437,M0573,M0472,M0143,M_NAN,,,,,,,,,,,,,,,,,,,,,
2025_summer_01,2025_summer_base,M0043,M0583,M0107,M0210,M_NAN,M0088,M_NAN,,,,,,,,,,,,,,,,,,,,,,
2025_summer_02,2025_summer_base,M0151,M0584,M0171,M0169,M_NAN,M0034,M_NAN,,,,,,,,,,,,,,,,,,,,,,
2025_summer_03,2025_summer_base,M0043,M0583,M0107,M0210,M_NAN,M0088,M_NAN,,,,,,,,,,,,,,,,,,,,,,
2025_summer_04,2025_summer_base,M0151,M0584,M0171,M0169,M_NAN,M0034,M_NAN,,,,,,,,,,,,,,,,,,,,,,
2025_summer_05,2025_summer_base,M0151,M0584,M0171,M0169,M_NAN,M0034,M_NAN,,,,,,,,,,,,,,,,,,,,,,
2025_summer_06,2025_summer_base,M0043,M0583,M0107,M0210,M0228,M0088,M_NAN,,,,,,,,,,,,,,,,,,,,,,
2025_summer_07,2025_summer_base,M0151,M0584,M0171,M0169,M_NAN,M0034,M_NAN,,,,,,,,,,,,,,,,,,,,,,
2025_summer_08,2025_summer_base,M0043,M0583,M0107,M0210,M_NAN,M0088,M_NAN,,,,,,,,,,,,,,,,,,,,,,
2025_summer_09,2025_summer_base,M0043,M0583,M0107,M0210,M_NAN,M0088,M_NAN,,,,,,,,,,,,,,,,,,,,,,
2025_summer_10,2025_summer_base,M0151,M0584,M0171,M0169,M_NAN,M0034,M_NAN,,,,,,,,,,,,,,,,,,,,,,
2025_summer_11,2025_summer_base,M0151,M0584,M0171,M0169,M_NAN,M0034,M_NAN,,,,,,,,,,,,,,,,,,,,,,
2025_summer_12,2025_summer_base,M0043,M0583,M0107,M0210,M_NAN,M0088,M0248,,,,,,,,,,,,,,,,,,,,,,
2025_spring_01,2025_spring_base,M0223,M0080,M0382,M0426,M0530,M0493,,M0037,M0196,M0188,,M_NAN,,,,,,,,,,,,,,,,,
2025_spring_02,2025_spring_base,M0207,M0162,M0541,M0479,M0715,M0422,,M0045,M0208,M0237,M0022,M_NAN,,,,,,,,,,,,,,,,,
2025_spring_03,2025_spring_base,M0223,M0080,M0382,M0426,M0530,M0493,,M0037,M0196,M0188,,M_NAN,,,,,,,,,,,,,,,,,
2025_spring_04,2025_spring_base,M0207,M0162,M0541,M0479,M0715,M0422,,M0045,M0208,M0237,M0022,M_NAN,,,,,,,,,,,,,,,,,
2025_spring_05,2025_spring_base,M0223,M0080,M0110,,M0557,M0667,M0235,M0094,M0208,M0237,M0022,M_NAN,,,,,,,,,,,,,,,,,
2025_spring_06,2025_spring_base,M0223,M0080,M0382,M0426,M0530,M0493,,M0037,M0196,M0188,,M_NAN,,,,,,,,,,,,,,,,,
2025_spring_07,2025_spring_base,M0207,M0162,M0541,M0479,M0715,M0422,,M0045,M0208,M0237,M0022,M_NAN,,,,,,,,,,,,,,,,,
2025_spring_08,2025_spring_base,M0223,M0080,M0110,,M0557,M0667,M0235,M0094,M0208,M0237,M0022,M_NAN,,,,,,,,,,,,,,,,,
2025_spring_09,2025_spring_base,M0223,M0080,M0382,M0426,M0530,M0493,,M0037,M0196,M0188,,M_NAN,,,,,,,,,,,,,,,,,
2025_spring_10,2025_spring_base,M0207,M0162,,M0479,M0715,M0422,,M0045,M0208,M0237,M0022,M_NAN,,,,,,,,,,,,,,,,,
2025_spring_11,2025_spring_base,M0223,M0080,M0110,,M0557,M0667,M0235,M0094,M0208,M0237,M0022,M_NAN,,,,,,,,,,,,,,,,,
2025_spring_12,2025_spring_base,M0223,M0080,M0382,M0426,M0530,M0493,,M0037,M0196,M0188,,M_NAN,,,,,,,,,,,,,,,,,
2025_spring_13,2025_spring_base,M0207,M0162,M0382,M0479,,M0422,,M0045,M0208,M0237,M0022,M_NAN,,,,,,,,,,,,,,,,,
2025_spring_14,2025_spring_base,M0223,M0080,M0110,,M0557,M0667,M0235,M0094,M0208,M0237,M0022,M_NAN,,,,,,,,,,,,,,,,,
2025_spring_15,2025_spring_base,M0223,M0080,M0382,M0426,M0530,M0493,,M0037,M0196,M0188,,M_NAN,,,,,,,,,,,,,,,,,
2025_spring_16,2025_spring_base,M0207,M0162,M0382,M0479,,M0422,,M0045,M0208,M0237,M0022,M_NAN,,,,,,,,,,,,,,,,,
2025_spring_17,2025_spring_base,M0223,M0080,M0110,,M0557,M0667,M0235,M0094,M0208,M0237,M0022,M_NAN,,,,,,,,,,,,,,,,,
2025_spring_18,2025_spring_base,M0223,M0080,M0382,M0426,M0530,M0493,,M0037,M0196,M0188,,M_NAN,,,,,,,,,,,,,,,,,
2025_spring_19,2025_spring_base,M0207,M0162,M0382,M0479,,M0422,,M0045,M0208,M0237,M0022,M_NAN,,,,,,,,,,,,,,,,,
2025_spring_20,2025_spring_base,M0223,M0080,M0110,,M0557,M0667,M0235,M0094,M0208,M0237,M0022,M_NAN,,,,,,,,,,,,,,,,,
2025_spring_21,2025_spring_base,M0223,M0080,M0382,M0426,M0530,M0493,,M0037,M0196,M0188,,M0057,,,,,,,,,,,,,,,,,
2025_spring_22,2025_spring_base,M0207,M0162,M0715,M0479,,M0422,,M0045,M0208,M0237,M0022,M0057,,,,,,,,,,,,,,,,,
2025_cover_01,2025_cover_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_cover_02,2025_cover_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024_halloween_01,2024_halloween_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024_halloween_02,2024_halloween_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024_halloween_03,2024_halloween_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024_summer_01,2024_summer_base,M0296,M0070,M_NAN,M0066,,,,,,,,,,,,,,,,,,,,,,,,,
2024_summer_02,2024_summer_base,M0274,M0171,M_NAN,M0224,,,,,,,,,,,,,,,,,,,,,,,,,
2024_summer_03,2024_summer_base,M0296,M0070,M_NAN,M0066,,,,,,,,,,,,,,,,,,,,,,,,,
2024_summer_04,2024_summer_base,M0274,M0171,M_NAN,M0224,,,,,,,,,,,,,,,,,,,,,,,,,
2024_summer_05,2024_summer_base,M0296,M0070,M_NAN,M0066,,,,,,,,,,,,,,,,,,,,,,,,,
2024_summer_06,2024_summer_base,M0274,M0171,M_NAN,M0224,,,,,,,,,,,,,,,,,,,,,,,,,
2024_summer_07,2024_summer_base,M0296,M0070,M_NAN,M0066,,,,,,,,,,,,,,,,,,,,,,,,,
2024_summer_08,2024_summer_base,M0274,M0171,M_NAN,M0224,,,,,,,,,,,,,,,,,,,,,,,,,
2024_summer_09,2024_summer_base,M0296,M0070,M_NAN,M0066,,,,,,,,,,,,,,,,,,,,,,,,,
2024_summer_10,2024_summer_base,M0274,M0171,M_NAN,M0224,,,,,,,,,,,,,,,,,,,,,,,,,
2024_summer_11,2024_summer_base,M0296,M0070,M0058,M0066,,,,,,,,,,,,,,,,,,,,,,,,,
2024_summer_12,2024_summer_base,M0274,M0171,M0205,M0224,,,,,,,,,,,,,,,,,,,,,,,,,
