ブロックID,ブロック内曲順,楽曲ID
BLOC_ur,1,VAR_SL_ur1
BLOC_ur,2,VAR_SL_ur2
BLOC_ur,3,VAR_SL_ur3
BLOC_ur,4,
BLOC_ur,5,M0374
BLOC_ur,6,VAR_SL_ur4
BLOC_ur,7,VAR_SL_ur5
BLOC_ur,8,M0337
BLOC_ur,9,
BLOC_ur,10,VAR_SL_ur6
BLOC_sm,1,M0422
BLOC_sm,2,M0419
BLOC_sm,3,VAR_SL_sm1
BLOC_sm,4,M0403
BLOC_sm,5,
BLOC_sm,6,
BLOC_sm,7,M0415
BLOC_sm,8,VAR_SL_sm2
BLOC_sk,1,M0491
BLOC_sk,2,M0074
BLOC_sk,3,VAR_SL_sk1
BLOC_sk,4,VAR_SL_sk2
BLOC_sk,5,M0294
BLOC_sk,6,M0493
BLOC_sk,7,M0215
BLOC_sk,8,M0111
BLOC_sn,1,M0216
BLOC_sn,2,M0176
BLOC_sn,3,VAR_SL_sn1
BLOC_sn,4,VAR_SL_sn2
BLOC_sn,5,
BLOC_sn,6,VAR_SL_sn3
BLOC_sn,7,VAR_SL_sn4
BLOC_sn,8,VAR_SL_sn5
MEDLEY_10th,1,M0287
MEDLEY_10th,2,M0209
MEDLEY_10th,3,M0241
MEDLEY_10th,4,M0188
MEDLEY_10th,5,M0205
MEDLEY_10th,6,M0244
MEDLEY_10th,7,M0140
MEDLEY_10th,8,M0298
MEDLEY_10th,9,M0227
MEDLEY_10th,10,M0260
