公演ID,ツアー名,日付,都道府県・会場,出演者
2013_01,,2013/09/07,大阪,浦島坂田船
2013_02,,2013/09/28,東京,浦島坂田船
2014_01,,2014/07/21,東京・吉祥寺CLUB SEATA,浦島坂田船
2014_02,,2014/08/10,愛知・名古屋,浦島坂田船
2014_03,,2014/08/23,大阪,浦島坂田船
2014_04,,2014/09/14,東京・新宿,浦島坂田船
2015_01,浦島坂田船プチ出航,2015/05/02,東京・TSUTAYA O-WEST,浦島坂田船
2015_tour_01,2015 浦島坂田船ライブツアー -Listen to my voice-,2015/08/01,東京・TSUTAYA O-WEST,浦島坂田船
2015_tour_02,2015 浦島坂田船ライブツアー -Listen to my voice-,2015/08/01,東京・TSUTAYA O-WEST,浦島坂田船
2015_tour_03,2015 浦島坂田船ライブツアー -Listen to my voice-,2015/08/09,大阪・BIGCAT,浦島坂田船
2015_tour_04,2015 浦島坂田船ライブツアー -Listen to my voice-,2015/08/09,大阪・BIGCAT,浦島坂田船
2015_tour_05,2015 浦島坂田船ライブツアー -Listen to my voice-,2015/09/12,愛知・CLUB QUATTRO,浦島坂田船
2015_tour_06,2015 浦島坂田船ライブツアー -Listen to my voice-,2015/09/12,愛知・CLUB QUATTRO,浦島坂田船
2015_tour_07,2015 浦島坂田船ライブツアー -Listen to my voice-,2015/09/21,東京・TSUTAYA O-EAST,浦島坂田船
2015_tour_08,2015 浦島坂田船ライブツアー -Listen to my voice-,2015/09/21,東京・TSUTAYA O-EAST,浦島坂田船
2016_summer_01,SUMMER TOUR 2016 -CRUISE PARTY-,2016/07/03,大阪・Zepp Namba,浦島坂田船
2016_summer_02,SUMMER TOUR 2016 -CRUISE PARTY-,2016/07/10,東京・TSUTAYA O-EAST(昼公演),浦島坂田船
2016_summer_03,SUMMER TOUR 2016 -CRUISE PARTY-,2016/07/10,東京・TSUTAYA O-EAST(夜公演),浦島坂田船
2016_summer_04,SUMMER TOUR 2016 -CRUISE PARTY-,2016/07/30,愛知・Zepp Nagoya,浦島坂田船
2016_summer_05,SUMMER TOUR 2016 -CRUISE PARTY-,2016/07/31,岡山・CRAZYMAMA KINGDOM,浦島坂田船
2016_summer_06,SUMMER TOUR 2016 -CRUISE PARTY-,2016/08/20,新潟・新潟LOTS(昼公演),浦島坂田船
2016_summer_07,SUMMER TOUR 2016 -CRUISE PARTY-,2016/08/20,新潟・新潟LOTS(夜公演),浦島坂田船
2016_summer_08,SUMMER TOUR 2016 -CRUISE PARTY-,2016/08/21,宮城・SENDAI CLUB JUNK BOX,浦島坂田船
2016_summer_09,SUMMER TOUR 2016 -CRUISE PARTY-,2016/08/27,京都・KYOTO MUSE(昼公演),浦島坂田船
2016_summer_10,SUMMER TOUR 2016 -CRUISE PARTY-,2016/08/27,京都・KYOTO MUSE(夜公演),浦島坂田船
2016_summer_11,SUMMER TOUR 2016 -CRUISE PARTY-,2016/08/28,福岡・BEAT STATION,浦島坂田船
2016_summer_12,SUMMER TOUR 2016 -CRUISE PARTY-,2016/09/03,静岡・SOUND SHOWER ark(昼公演),浦島坂田船
2016_summer_13,SUMMER TOUR 2016 -CRUISE PARTY-,2016/09/03,静岡・SOUND SHOWER ark(夜公演),浦島坂田船
