楽曲ID,曲名,かな,アーティスト,区分,形態,投稿日,CD,アルバム名義,
M0001,USSS GPT,ゆーえすえすえすじーぴーてぃー,浦島坂田船,オリジナル,全員,2026/04/01,-,,
M0002,TENTH,てんす,浦島坂田船,オリジナル,全員,2026/03/23,-,,
M0003,右肩の蝶,みぎかたのちょう,"志麻,センラ",カバー,ペア,2026/03/08,-,,
M0004,宵,よい,浦島坂田船,オリジナル,全員,2026/03/03,-,,
M0005,薄紅,うすべに,浦島坂田船,オリジナル,全員,2026/03/06,TA13OO,,
M0006,輪々春廻,りんりんしゅんかい,浦島坂田船,オリジナル,全員,2026/02/27,-,,
M0007,ジェヘナ,じぇへな,"となりの坂田。,センラ",カバー,ペア,2026/02/25,-,,
M0008,PPPP,ぴぴぴぴ,"うらたぬき,センラ",カバー,ペア,2026/01/30,-,,
M0009,ラメグラデーション,らめぐらでーしょん,浦島坂田船,オリジナル,全員,2026/01/16,TA13OO,,
M0010,フライングゲット,ふらいんぐげっと,浦島坂田船,カバー,全員,2025/12/25,-,,
M0011,女々しくて,めめしくて,"志麻,となりの坂田。",カバー,ペア,2025/12/21,-,,
M0012,ずっとずっと。,ずっとずっと,"志麻,となりの坂田。",オリジナル,ペア,2025/11/29,-,,
M0013,ガチ恋者達に捧ぐバラッド～キミが笑えば地球も回る～,がちこいじゃたちにささぐばらっどきみがわらえばちきゅうもまわる,"志麻,となりの坂田。",オリジナル,ペア,2025/11/22,-,,
M0014,ダブルフェイス,だぶるふぇいす,浦島坂田船,オリジナル,全員,2025/10/10,-,,
M0015,Exorcise,えくそーさいず,浦島坂田船,オリジナル,全員,2025/10/17,-,,
M0016,被害妄想携帯女子(笑),ひがいもうそうけいたいじょし,浦島坂田船,カバー,全員,2025/10/15,-,,
M0017,KISS THE BULLET,きすざばれっと,浦島坂田船,オリジナル,全員,2025/10/13,-,,
M0018,Happiness,はぴねす,浦島坂田船,カバー,全員,2025/09/21,-,,
M0019,MINE MINE,まいんまいん,浦島坂田船,オリジナル,全員,2025/06/20,WARN12G,,
M0020,宵座興,よいざきょう,浦島坂田船,オリジナル,全員,2025/06/25,WARN12G,,
M0021,Trashy,とらっしー,浦島坂田船,オリジナル,全員,2025/06/25,WARN12G,,
M0022,ワガママOnly Mine,わがままおんりーまいん,浦島坂田船,オリジナル,全員,2024/08/05,WARN12G,,
M0023,P!P!P!P!,ぴぴぴぴ,うらたぬき,オリジナル,ソロ,2025/06/25,WARN12G,,
M0024,言霊,ことだま,志麻,オリジナル,ソロ,2025/06/25,WARN12G,,
M0025,祝辞,しゅくじ,となりの坂田。,オリジナル,ソロ,2025/06/25,WARN12G,,
M0026,Secret KISS,しーくれっときす,センラ,オリジナル,ソロ,2025/06/25,WARN12G,,
M0027,大人A-S-O-V,おとなあそび,"うらたぬき,となりの坂田。",オリジナル,ペア,2025/06/08,WARN12G,,
M0028,Rat-a-tat,らったった,"志麻,センラ",オリジナル,ペア,2025/06/01,WARN12G,,
M0029,You miss me，I know,ゆーみすみーあいのー,浦島坂田船,オリジナル,全員,2025/06/25,WARN12G,,
M0030,あざといんふるえんさー,あざといんふるえんさー,うりゃしましゃかたせん,オリジナル,全員,2025/04/01,WARN12G,,
M0031,月華,ゆえふぁ,浦島坂田船,オリジナル,全員,2025/02/20,WARN12G,,
M0032,U.S.S.S HOLIC,ゆーえすえすえすほりっく,浦島坂田船,オリジナル,全員,2025/06/25,WARN12G,,
M0033,わたしの一番かわいいところ,わたしのいちばんかわいいところ,浦島坂田船,カバー,全員,2025/04/28,-,,
M0034,ハッピーエンドは笑うように,はっぴーえんどはわらうように,浦島坂田船,オリジナル,全員,2025/02/14,-,,
M0035,天ノ弱,あまのじゃく,"うらたぬき,志麻",カバー,ペア,2025/01/31,-,,
M0036,ワールズエンド・ダンスホール,わーるずえんどだんすほーる,"志麻,となりの坂田。",カバー,ペア,2024/12/02,-,,
M0037,ダンサブリミア,だんさぶりみあ,"志麻,となりの坂田。",オリジナル,ペア,2024/11/28,-,,
M0038,ジロティナブル,じろてぃなぶる,"志麻,となりの坂田。",オリジナル,ペア,2024/11/16,-,,
M0039,超毒的LOVE,ちょうどくてきらぶ,浦島坂田船,オリジナル,全員,2024/11/09,-,,
